id,year,record_ref,AgencyCode,AgencyName,DateOfStop,TimeOfStop,DurationOfStop,ZIP,VehicleMake,VehicleYear,DriversYearofBirth,DriverSex,DriverRace,ReasonForStop,TypeOfMovingViolation,ResultOfStop,BeatLocationOfStop,VehicleConsentSearchRequested,VehicleConsentGiven,VehicleSearchConducted,VehicleSearchConductedBy,VehicleContrabandFound,VehicleDrugsFound,VehicleDrugParaphernaliaFound,VehicleAlcoholFound,VehicleWeaponFound,VehicleStolenPropertyFound,VehicleOtherContrabandFound,VehicleDrugAmount,DriverConsentSearchRequested,DriverConsentGiven,DriverSearchConducted,DriverSearchConductedBy,PassengerConsentSearchRequested,PassengerConsentGiven,PassengerSearchConducted,PassengerSearchConductedBy,DriverPassengerContrabandFound,DriverPassengerDrugsFound,DriverPassengerDrugParaphernaliaFound,DriverPassengerAlcoholFound,DriverPassengerWeaponFound,DriverPassengerStolenPropertyFound,DriverPassengerOtherContrabandFound,DriverPassengerDrugAmount,PoliceDogPerformSniffOfVehicle,PoliceDogAlertIfSniffed,PoliceDogVehicleSearched,PoliceDogContrabandFound,PoliceDogDrugsFound,PoliceDogDrugParaphernaliaFound,PoliceDogAlcoholFound,PoliceDogWeaponFound,PoliceDogStolenPropertyFound,PoliceDogOtherContrabandFound,PoliceDogDrugAmount,SearchConducted,VehicleSearchType,PassengersSearchType,DriverSearchType,ContrabandFound,DrugsFound,AlcoholFound,ParaphernaliaFound,WeaponFound,StolenPropertyFound,OtherContrabandFound,DrugQuantity,ConsentSearchRequested,WasConsentGranted,WasConsentSearchPerformed,WasConsentContrabandFound,ConsentDrugsFound,ConsentAlcoholFound,ConsentParaphernaliaFound,ConsentWeaponFound,ConsentStolenPropertyFound,ConsentOtherContrabandFound,ConsentDrugQuantity,TypeOfRoadway,Passenger1SearchType,Passenger2SearchType,Passenger3SearchType,Passenger4SearchType,Passenger5SearchType,Passenger6SearchType,driver_race,search_conducted,search_hit,consent_search_requested,consent_search_conducted,dog_sniff,dog_search_conducted,dog_search_hit,outcome,Agency_id
42453954,2023,2023-3648,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-06,16:29:00,5,46321,MASERATI,2017,1980,1,2,3,0,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453957,2023,2023-3651,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-06,20:30:00,2,60619,HONDA,2019,1988,2,2,1,4,3,225,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453958,2023,2023-3652,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-06,20:30:00,7,60615,SMART CAR,2014,1979,2,5,1,4,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453959,2023,2023-3653,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-06,18:47:00,7,92115,BUICK,2000,1996,1,2,1,4,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453962,2023,2023-3656,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-06,09:23:00,7,60637,TOYOTA,2009,1947,2,2,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453964,2023,2023-3658,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-07,10:34:00,3,60637,AUDI,2014,1960,1,2,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453967,2023,2023-3661,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-07,10:02:00,3,60615,HONDA,2022,1994,1,1,1,4,3,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453969,2023,2023-3663,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-08,02:02:00,8,60659,TOYOTA,2010,1996,1,5,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453971,2023,2023-3665,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-07,22:06:00,7,60637,CHEVY,2017,1985,2,2,1,4,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453975,2023,2023-3669,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-07,20:36:00,7,60640,NISSAN,2019,1998,1,2,1,4,1,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453977,2023,2023-3671,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-08,22:58:00,8,98328,TOYOTA,2010,1985,1,5,1,6,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453981,2023,2023-3675,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-08,20:02:00,10,07750,TOYOTA,2019,2001,1,1,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453986,2023,2023-3680,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-08,20:08:00,5,60615,CHEVY,2018,1990,2,2,1,4,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453988,2023,2023-3682,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-08,19:36:00,7,60615,JAGUAR,2002,1973,1,2,1,4,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42454028,2023,2023-3722,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-08,22:19:00,6,60615,TOYOTA,2004,1957,2,1,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42454035,2023,2023-3729,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-08,22:39:00,8,60623,MAZDA,2023,2001,1,2,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42454694,2023,2023-4388,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-09,19:56:00,10,60652,HONDA,2010,1970,1,4,1,4,3,225,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42454696,2023,2023-4390,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-09,21:05:00,25,60609,CHEVEROLET,2003,2003,1,4,1,4,1,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42454698,2023,2023-4392,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-09,17:02:00,15,74066,TOYOTA,2013,1978,2,2,1,2,3,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42455506,2023,2023-5200,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-07,15:34:00,7,60610,CHEVEROLET,2018,1996,2,2,1,1,3,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42456070,2023,2023-5764,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-11,16:38:00,5,60623,CHRYSTLER,2022,1993,1,2,1,4,3,141,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42456071,2023,2023-5765,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-11,22:51:00,5,60615,NISSAN,2019,1998,1,2,1,6,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42456072,2023,2023-5766,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-11,09:48:00,4,60629,MITSUBISHI,2019,1984,1,2,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42456103,2023,2023-5797,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-11,19:37:00,45,60619,CHEVY,2017,1986,1,2,1,4,1,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42456105,2023,2023-5799,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-11,08:31:00,10,60615,SCION,2012,1986,2,2,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42457642,2023,2023-7336,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-12,23:09:00,8,60653,MAZD,2018,2000,1,2,1,6,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42457643,2023,2023-7337,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-12,23:00:00,4,60649,FORD,2013,1979,1,2,1,4,3,140,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42457646,2023,2023-7340,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-12,23:45:00,5,30294,TOYOTA,2022,1997,2,2,1,4,3,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42457656,2023,2023-7350,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-12,20:16:00,6,60649,TOYOTA,2012,1990,1,2,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42457657,2023,2023-7351,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-03,09:26:00,10,02139,MAZDA,2021,1993,1,5,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42457658,2023,2023-7352,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-12,09:33:00,10,60649,HYUANDI,2013,1986,2,2,1,4,3,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42457659,2023,2023-7353,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-13,08:30:00,10,60160,NISSAN,2022,1998,1,1,1,6,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460202,2023,2023-9896,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-13,08:30:00,30,60653,MAZDA,2019,1996,1,2,1,2,1,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460203,2023,2023-9897,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-15,22:43:00,20,60827,JEEP,2015,1991,2,2,2,0,1,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460205,2023,2023-9899,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-15,00:44:00,25,33140,TOYOTA,2005,1999,1,5,1,2,1,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460206,2023,2023-9900,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-16,23:09:00,5,60624,FORD,2018,1999,1,2,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460238,2023,2023-9932,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-16,03:54:00,20,60411,FORD,2023,1997,1,2,1,4,1,140,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460241,2023,2023-9935,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-13,20:33:00,7,60637,NISSAN,2013,1997,2,2,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460243,2023,2023-9937,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-15,00:21:00,5,60452,GMC,2017,1991,2,2,2,0,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460254,2023,2023-9948,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-14,21:15:00,7,60621,CHEVEROLET,2005,1997,1,2,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460265,2023,2023-9959,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-13,23:30:00,6,60633,TOYOTA,2014,1972,1,1,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460268,2023,2023-9962,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-16,23:20:00,4,11296,HONDA,2022,2001,1,1,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460271,2023,2023-9965,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-16,11:58:00,10,60617,DODGE,2016,1998,2,2,1,4,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42460397,2023,2023-10091,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-13,10:45:00,4,60619,JEEP,2023,1981,1,2,1,4,3,140,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42461113,2023,2023-10807,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-17,15:22:00,3,60653,CHEVY,2020,1985,1,2,1,2,3,211,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42461428,2023,2023-11122,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-17,21:40:00,3,60626,SUBARU,2019,1975,1,4,1,4,3,225,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42461429,2023,2023-11123,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-17,17:09:00,10,60636,BUICK,2003,1964,1,2,1,6,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42461430,2023,2023-11124,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-17,20:00:00,13,60649,TOYOTA,2012,1990,1,2,1,6,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42467170,2023,2023-16864,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-23,23:59:00,31,60133,NISSAN,2018,1998,1,4,1,6,3,140,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42467172,2023,2023-16866,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-22,20:00:00,45,60617,DODGE,2001,2003,1,2,1,4,1,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
